loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
40.0,9.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,17.0,False
16.0,2.0,1.0,2.0,42.0,199.71,0.19,5.29,37.72,1057.26,0.07,58.74,12,0,1,0,10.0,17.0,24.0,18.0,3.0,False
15.0,1.0,1.0,1.0,35.0,153.73,0.17,5.91,26.02,908.41,0.05,50.47,10,0,3,0,10.0,11.0,22.0,13.0,1.0,False
20.0,2.0,1.0,2.0,56.0,260.06,0.1,9.82,26.48,2554.12,0.09,141.9,13,2,3,0,11.0,14.0,31.0,25.0,3.0,False
31.0,6.0,1.0,5.0,114.0,610.76,0.07,15.36,39.76,9381.29,0.2,521.17,24,0,5,0,16.0,25.0,66.0,48.0,11.0,False
18.0,2.0,1.0,2.0,41.0,182.84,0.13,7.5,24.38,1371.28,0.06,76.18,16,0,2,0,10.0,12.0,23.0,18.0,3.0,False
36.0,4.0,1.0,3.0,74.0,370.0,0.07,14.0,26.43,5180.0,0.12,287.78,26,0,7,0,16.0,16.0,46.0,28.0,7.0,False
21.0,4.0,4.0,3.0,39.0,178.81,0.12,8.5,21.04,1519.92,0.06,84.44,18,0,1,0,12.0,12.0,22.0,17.0,7.0,False
20.0,3.0,3.0,2.0,59.0,283.63,0.1,9.75,29.09,2765.43,0.09,153.64,17,0,1,0,12.0,16.0,33.0,26.0,5.0,False
13.0,3.0,3.0,2.0,38.0,178.62,0.11,9.33,19.14,1667.09,0.06,92.62,9,0,2,0,14.0,12.0,22.0,16.0,5.0,False
25.0,4.0,4.0,3.0,54.0,256.76,0.08,12.92,19.87,3318.18,0.09,184.34,21,0,2,0,14.0,13.0,30.0,24.0,7.0,False
11.0,3.0,1.0,2.0,24.0,98.1,0.25,4.0,24.52,392.4,0.03,21.8,9,0,0,0,8.0,9.0,15.0,9.0,5.0,False
97.0,7.0,1.0,6.0,453.0,2794.98,0.02,40.87,68.39,114224.87,0.93,6345.83,92,0,3,0,19.0,53.0,225.0,228.0,13.0,False
168.0,12.0,9.0,11.0,415.0,2584.96,0.02,44.44,58.17,114869.15,0.86,6381.62,90,42,24,10,27.0,48.0,257.0,158.0,22.0,False
10.0,2.0,1.0,2.0,35.0,162.53,0.15,6.46,25.15,1050.23,0.05,58.35,8,0,0,0,12.0,13.0,21.0,14.0,3.0,False
29.0,9.0,9.0,1.0,61.0,275.94,0.17,5.87,47.03,1618.83,0.09,89.94,27,0,0,0,8.0,15.0,39.0,22.0,17.0,False
11.0,4.0,3.0,1.0,47.0,199.65,0.05,19.5,10.24,3893.23,0.07,216.29,9,0,0,0,13.0,6.0,29.0,18.0,7.0,False
13.0,2.0,1.0,1.0,42.0,189.99,0.14,7.31,26.0,1388.39,0.06,77.13,8,0,3,0,10.0,13.0,23.0,19.0,3.0,False
11.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,9.0,False
10.0,1.0,1.0,1.0,19.0,68.11,0.35,2.86,23.84,194.61,0.02,10.81,5,0,3,0,5.0,7.0,11.0,8.0,1.0,False
5.0,1.0,1.0,1.0,31.0,107.24,0.17,5.83,18.38,625.58,0.04,34.75,3,0,0,0,5.0,6.0,17.0,14.0,1.0,False
77.0,13.0,12.0,8.0,326.0,2030.59,0.03,33.25,61.07,67517.28,0.68,3750.96,67,3,5,0,25.0,50.0,193.0,133.0,25.0,False
16.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,False
33.0,1.0,1.0,1.0,85.0,384.5,0.08,13.29,28.93,5110.68,0.13,283.93,22,4,5,0,11.0,12.0,56.0,29.0,1.0,False
29.0,4.0,1.0,3.0,57.0,264.7,0.06,16.5,16.04,4367.55,0.09,242.64,20,0,7,0,15.0,10.0,35.0,22.0,7.0,False
23.0,3.0,1.0,3.0,39.0,168.56,0.11,9.5,17.74,1601.27,0.06,88.96,13,4,4,0,10.0,10.0,20.0,19.0,5.0,False
12.0,4.0,4.0,1.0,21.0,75.28,0.25,4.0,18.82,301.14,0.03,16.73,10,0,0,0,6.0,6.0,13.0,8.0,7.0,False
10.0,2.0,1.0,2.0,33.0,151.3,0.17,5.92,25.54,896.18,0.05,49.79,7,0,1,0,11.0,13.0,19.0,14.0,3.0,False
4.0,1.0,1.0,1.0,9.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2,0,0,0,4.0,4.0,5.0,4.0,1.0,False
60.0,7.0,1.0,4.0,120.0,576.88,0.03,29.36,19.65,16939.37,0.19,941.08,39,14,5,0,17.0,11.0,82.0,38.0,13.0,False
7.0,2.0,1.0,2.0,34.0,144.43,0.14,7.22,20.0,1043.09,0.05,57.95,4,0,1,0,10.0,9.0,21.0,13.0,3.0,False
38.0,9.0,1.0,9.0,147.0,706.68,0.05,19.5,36.24,13780.28,0.24,765.57,22,0,9,4,12.0,16.0,95.0,52.0,17.0,False
161.0,34.0,26.0,1.0,367.0,1611.98,0.01,112.13,14.38,180743.31,0.54,10041.3,114,16,29,0,13.0,8.0,229.0,138.0,67.0,False
4.0,1.0,1.0,1.0,10.0,31.7,0.4,2.5,12.68,79.25,0.01,4.4,2,0,0,0,5.0,4.0,6.0,4.0,1.0,False
11.0,2.0,1.0,1.0,30.0,129.66,0.17,5.73,22.64,742.59,0.04,41.25,8,0,1,0,9.0,11.0,16.0,14.0,3.0,False
17.0,2.0,1.0,2.0,41.0,190.4,0.16,6.29,30.29,1196.79,0.06,66.49,10,1,3,0,11.0,14.0,25.0,16.0,3.0,False
14.0,3.0,3.0,2.0,28.0,121.01,0.1,10.21,11.85,1236.07,0.04,68.67,10,0,2,0,13.0,7.0,17.0,11.0,5.0,False
21.0,3.0,1.0,1.0,62.0,284.27,0.07,15.36,18.5,4367.39,0.09,242.63,13,0,2,1,13.0,11.0,36.0,26.0,5.0,False
3.0,1.0,1.0,1.0,8.0,18.58,0.17,6.0,3.1,111.45,0.01,6.19,1,0,0,0,4.0,1.0,5.0,3.0,1.0,False
35.0,4.0,3.0,2.0,62.0,294.8,0.1,10.0,29.48,2948.03,0.1,163.78,23,3,6,1,12.0,15.0,37.0,25.0,7.0,True
25.0,2.0,1.0,2.0,56.0,256.76,0.18,5.56,46.19,1427.27,0.09,79.29,19,2,2,0,7.0,17.0,29.0,27.0,3.0,False
26.0,3.0,1.0,3.0,88.0,477.51,0.12,8.45,56.52,4034.15,0.16,224.12,14,3,7,0,14.0,29.0,53.0,35.0,5.0,False
66.0,10.0,5.0,3.0,233.0,1408.34,0.04,23.48,59.99,33065.46,0.47,1836.97,59,0,5,0,20.0,46.0,125.0,108.0,19.0,False
9.0,2.0,1.0,2.0,19.0,72.34,0.25,4.0,18.08,289.36,0.02,16.07,7,0,0,0,7.0,7.0,11.0,8.0,3.0,False
15.0,1.0,1.0,1.0,40.0,166.8,0.37,2.71,61.45,452.73,0.06,25.15,7,3,3,0,4.0,14.0,21.0,19.0,1.0,False
51.0,10.0,1.0,6.0,169.0,893.23,0.04,28.29,31.58,25265.73,0.3,1403.65,41,0,1,5,18.0,21.0,103.0,66.0,16.0,False
67.0,9.0,4.0,5.0,108.0,524.66,0.05,18.67,28.11,9793.69,0.17,544.09,41,15,9,0,14.0,15.0,68.0,40.0,17.0,False
23.0,28.0,28.0,28.0,211.0,1045.33,0.06,17.38,60.14,18168.93,0.35,1009.38,21,0,0,0,10.0,21.0,138.0,73.0,55.0,False
52.0,2.0,1.0,2.0,227.0,981.08,0.01,86.33,11.36,84699.71,0.33,4705.54,36,3,10,0,14.0,6.0,153.0,74.0,3.0,False
176.0,50.0,49.0,23.0,632.0,3873.71,0.02,57.91,66.89,224338.15,1.29,12463.23,139,22,10,2,24.0,46.0,410.0,222.0,99.0,False
23.0,2.0,1.0,2.0,43.0,185.84,0.32,3.17,58.69,588.5,0.06,32.68,16,0,5,0,5.0,15.0,24.0,19.0,3.0,False
177.0,25.0,21.0,13.0,446.0,2811.49,0.02,44.21,63.59,124304.14,0.94,6905.79,101,47,22,5,25.0,54.0,255.0,191.0,48.0,False
15.0,2.0,1.0,2.0,41.0,180.09,0.08,13.0,13.85,2341.11,0.06,130.06,12,0,3,0,13.0,8.0,25.0,16.0,3.0,False
32.0,2.0,1.0,1.0,78.0,396.82,0.09,11.14,35.61,4421.73,0.13,245.65,25,1,4,0,13.0,21.0,42.0,36.0,3.0,False
26.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,False
30.0,1.0,1.0,1.0,396.0,2107.48,0.05,21.0,100.36,44257.15,0.7,2458.73,23,0,5,0,10.0,30.0,270.0,126.0,1.0,False
26.0,6.0,5.0,4.0,72.0,363.2,0.08,12.92,28.12,4691.29,0.12,260.63,20,0,4,0,15.0,18.0,41.0,31.0,11.0,False
33.0,6.0,6.0,3.0,88.0,454.95,0.05,19.38,23.48,8814.72,0.15,489.71,26,0,5,0,20.0,16.0,57.0,31.0,11.0,False
17.0,6.0,3.0,2.0,62.0,272.32,0.05,21.12,12.89,5752.84,0.09,319.6,13,0,1,0,13.0,8.0,36.0,26.0,11.0,False
7.0,1.0,1.0,1.0,17.0,58.81,0.44,2.29,25.73,134.42,0.02,7.47,5,0,0,0,4.0,7.0,9.0,8.0,1.0,False
94.0,25.0,23.0,12.0,320.0,1890.2,0.03,33.38,56.62,63103.77,0.63,3505.76,70,0,16,6,21.0,39.0,196.0,124.0,49.0,False
17.0,2.0,1.0,2.0,55.0,269.88,0.14,7.33,36.8,1979.11,0.09,109.95,13,0,1,0,12.0,18.0,33.0,22.0,3.0,False
13.0,3.0,3.0,2.0,36.0,140.65,0.1,10.0,14.06,1406.48,0.05,78.14,10,0,0,1,10.0,5.0,26.0,10.0,5.0,False
486.0,23.0,1.0,21.0,2443.0,16335.12,0.01,114.75,142.35,1874505.53,5.45,104139.2,439,0,44,1,22.0,81.0,1598.0,845.0,45.0,False
8.0,1.0,1.0,1.0,15.0,53.77,0.24,4.2,12.8,225.85,0.02,12.55,7,0,1,0,7.0,5.0,9.0,6.0,1.0,False
10.0,3.0,3.0,1.0,26.0,104.0,0.11,9.17,11.35,953.33,0.03,52.96,7,0,1,0,10.0,6.0,15.0,11.0,5.0,False
19.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,9.0,False
11.0,2.0,1.0,2.0,26.0,110.45,0.15,6.86,16.11,757.34,0.04,42.07,9,0,0,0,12.0,7.0,18.0,8.0,3.0,False
7.0,1.0,1.0,1.0,16.0,55.35,0.44,2.29,24.22,126.52,0.02,7.03,4,0,1,0,4.0,7.0,8.0,8.0,1.0,False
18.0,4.0,3.0,3.0,48.0,225.62,0.09,10.91,20.68,2461.32,0.08,136.74,14,0,2,0,15.0,11.0,32.0,16.0,7.0,False
30.0,3.0,3.0,2.0,90.0,457.87,0.13,7.92,57.81,3626.34,0.15,201.46,19,3,4,0,9.0,25.0,46.0,44.0,5.0,False
30.0,5.0,1.0,1.0,92.0,460.0,0.04,23.38,19.67,10756.92,0.15,597.61,22,1,5,0,19.0,13.0,60.0,32.0,9.0,False
16.0,5.0,3.0,3.0,73.0,350.94,0.05,18.46,19.01,6478.84,0.12,359.94,11,0,3,0,15.0,13.0,41.0,32.0,9.0,False
24.0,3.0,1.0,3.0,58.0,269.34,0.14,7.03,38.31,1893.82,0.09,105.21,17,0,2,3,9.0,16.0,33.0,25.0,5.0,False
77.0,2.0,1.0,2.0,243.0,1494.39,0.07,13.82,108.15,20649.73,0.5,1147.21,45,14,14,0,16.0,55.0,148.0,95.0,3.0,False
16.0,4.0,3.0,1.0,36.0,167.18,0.1,10.18,16.42,1702.18,0.06,94.57,14,0,2,0,14.0,11.0,20.0,16.0,7.0,False
15.0,2.0,1.0,2.0,39.0,168.56,0.16,6.14,27.47,1034.31,0.06,57.46,10,0,3,0,9.0,11.0,24.0,15.0,3.0,False
24.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11.0,False
12.0,4.0,3.0,2.0,26.0,110.45,0.13,7.71,14.32,852.01,0.04,47.33,9,0,0,0,12.0,7.0,17.0,9.0,7.0,False
17.0,3.0,1.0,1.0,45.0,171.33,0.04,27.5,6.23,4711.6,0.06,261.76,14,0,1,0,11.0,3.0,30.0,15.0,5.0,False
36.0,3.0,1.0,2.0,141.0,745.24,0.05,20.52,36.31,15293.66,0.25,849.65,26,3,5,0,16.0,23.0,82.0,59.0,5.0,False
34.0,3.0,3.0,3.0,47.0,215.49,0.25,4.0,53.87,861.97,0.07,47.89,14,11,7,0,8.0,16.0,31.0,16.0,5.0,False
37.0,13.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,25.0,False
18.0,3.0,1.0,3.0,42.0,187.3,0.16,6.25,29.97,1170.6,0.06,65.03,15,0,1,0,10.0,12.0,27.0,15.0,5.0,False
12.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,False
17.0,4.0,1.0,1.0,33.0,134.89,0.08,11.92,11.32,1607.39,0.04,89.3,13,0,2,0,11.0,6.0,20.0,13.0,7.0,False
48.0,3.0,1.0,3.0,64.0,289.51,0.1,10.08,28.71,2919.21,0.1,162.18,22,3,16,1,11.0,12.0,42.0,22.0,4.0,False
13.0,5.0,4.0,4.0,57.0,267.93,0.06,17.6,15.22,4715.48,0.09,261.97,10,0,1,0,16.0,10.0,35.0,22.0,9.0,False
10.0,2.0,1.0,1.0,24.0,100.08,0.18,5.63,17.79,562.94,0.03,31.27,6,0,2,0,10.0,8.0,15.0,9.0,3.0,False
32.0,6.0,4.0,5.0,99.0,503.66,0.07,15.0,33.58,7554.88,0.17,419.72,25,0,5,0,15.0,19.0,61.0,38.0,11.0,False
25.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,False
119.0,16.0,12.0,10.0,418.0,2634.98,0.02,48.59,54.23,128029.05,0.88,7112.72,93,6,18,0,28.0,51.0,241.0,177.0,30.0,False
6.0,1.0,1.0,1.0,25.0,83.05,0.11,9.0,9.23,747.43,0.03,41.52,5,1,0,0,6.0,4.0,13.0,12.0,1.0,False
8.0,1.0,1.0,1.0,18.0,66.61,0.4,2.5,26.64,166.52,0.02,9.25,4,0,0,0,5.0,8.0,10.0,8.0,1.0,False
59.0,3.0,1.0,1.0,99.0,427.87,0.05,22.0,19.45,9413.16,0.14,522.95,32,14,11,0,11.0,9.0,63.0,36.0,5.0,False
33.0,7.0,3.0,6.0,136.0,737.97,0.06,17.81,41.43,13145.13,0.25,730.28,27,0,4,0,19.0,24.0,91.0,45.0,13.0,False
27.0,11.0,9.0,3.0,122.0,662.0,0.05,20.43,32.4,13523.8,0.22,751.32,22,0,3,0,22.0,21.0,83.0,39.0,21.0,False
95.0,24.0,12.0,9.0,586.0,3966.16,0.03,37.65,105.35,149321.05,1.32,8295.61,86,1,8,0,25.0,84.0,333.0,253.0,47.0,False
18.0,2.0,1.0,2.0,53.0,239.75,0.09,11.45,20.93,2746.21,0.08,152.57,12,0,3,0,12.0,11.0,32.0,21.0,3.0,False
18.0,1.0,1.0,1.0,47.0,209.59,0.15,6.58,31.87,1378.48,0.07,76.58,10,0,6,0,9.0,13.0,28.0,19.0,1.0,False
75.0,9.0,7.0,5.0,292.0,1731.78,0.04,28.26,61.29,48932.72,0.58,2718.48,65,1,9,0,18.0,43.0,157.0,135.0,17.0,False
12.0,1.0,1.0,1.0,16.0,60.92,0.29,3.5,17.41,213.21,0.02,11.85,4,4,2,0,7.0,7.0,9.0,7.0,1.0,False
28.0,3.0,1.0,3.0,78.0,386.43,0.08,12.35,31.28,4773.51,0.13,265.2,21,0,5,0,14.0,17.0,48.0,30.0,5.0,False
106.0,1.0,1.0,1.0,565.0,2986.25,0.03,39.48,75.64,117903.64,1.0,6550.2,76,7,19,2,11.0,28.0,364.0,201.0,1.0,False
31.0,1.0,1.0,1.0,111.0,590.73,0.1,9.64,61.26,5696.36,0.2,316.46,19,2,7,0,12.0,28.0,66.0,45.0,1.0,False
14.0,2.0,1.0,2.0,26.0,98.99,0.11,9.0,11.0,890.92,0.03,49.5,7,0,0,0,9.0,5.0,16.0,10.0,3.0,False
28.0,4.0,1.0,4.0,103.0,532.5,0.1,10.5,50.71,5591.27,0.18,310.63,21,0,5,0,12.0,24.0,61.0,42.0,7.0,False
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3.0,1.0,3.0,1.0,1.0,False
15.0,3.0,1.0,2.0,24.0,98.1,0.16,6.42,15.29,629.47,0.03,34.97,11,0,2,0,11.0,6.0,17.0,7.0,5.0,False
11.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,False
41.0,10.0,4.0,5.0,180.0,891.76,0.03,40.0,22.29,35670.21,0.3,1981.68,30,0,9,0,16.0,15.0,113.0,75.0,19.0,False
7.0,1.0,1.0,1.0,14.0,48.43,0.28,3.6,13.45,174.36,0.02,9.69,4,0,1,0,6.0,5.0,8.0,6.0,1.0,False
16.0,1.0,1.0,1.0,49.0,215.22,0.11,9.09,23.67,1956.58,0.07,108.7,10,0,3,0,10.0,11.0,29.0,20.0,1.0,False
5.0,1.0,1.0,1.0,15.0,51.89,0.34,2.92,17.79,151.35,0.02,8.41,3,0,0,0,5.0,6.0,8.0,7.0,1.0,False
25.0,5.0,5.0,4.0,66.0,310.23,0.09,11.5,26.98,3567.63,0.1,198.2,21,0,1,1,13.0,13.0,43.0,23.0,9.0,False
11.0,3.0,1.0,1.0,24.0,96.0,0.16,6.43,14.93,617.14,0.03,34.29,6,0,2,0,9.0,7.0,14.0,10.0,5.0,False
84.0,15.0,10.0,5.0,227.0,1260.89,0.03,30.88,40.84,38930.03,0.42,2162.78,67,9,3,0,19.0,28.0,136.0,91.0,29.0,False
4.0,1.0,1.0,1.0,12.0,41.51,0.29,3.5,11.86,145.3,0.01,8.07,2,0,0,0,7.0,4.0,8.0,4.0,1.0,False
25.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,False
5.0,1.0,1.0,1.0,10.0,31.7,0.4,2.5,12.68,79.25,0.01,4.4,3,0,0,0,5.0,4.0,6.0,4.0,1.0,False
8.0,2.0,1.0,1.0,15.0,53.77,0.29,3.5,15.36,188.21,0.02,10.46,6,0,0,0,7.0,5.0,10.0,5.0,3.0,False
16.0,1.0,1.0,1.0,49.0,196.0,0.09,10.93,17.93,2142.0,0.07,119.0,9,0,5,0,9.0,7.0,32.0,17.0,1.0,False
8.0,1.0,1.0,1.0,13.0,39.0,0.33,3.0,13.0,117.0,0.01,6.5,3,2,1,0,4.0,4.0,7.0,6.0,1.0,False
6.0,1.0,1.0,1.0,9.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2,0,1,1,4.0,4.0,5.0,4.0,1.0,False
63.0,8.0,1.0,7.0,176.0,966.57,0.03,30.4,31.79,29383.61,0.32,1632.42,54,0,7,0,20.0,25.0,100.0,76.0,15.0,False
4.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0,4.0,3.0,4.0,3.0,1.0,False
6.0,3.0,3.0,2.0,15.0,58.6,0.22,4.5,13.02,263.72,0.02,14.65,3,0,1,0,9.0,6.0,9.0,6.0,5.0,False
69.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,9.0,False
31.0,4.0,1.0,4.0,130.0,644.05,0.06,15.68,41.09,10095.41,0.21,560.86,26,0,3,0,11.0,20.0,73.0,57.0,7.0,False
42.0,2.0,1.0,2.0,171.0,739.05,0.02,65.33,11.31,48284.58,0.25,2682.48,28,3,8,0,14.0,6.0,115.0,56.0,3.0,False
48.0,13.0,12.0,7.0,156.0,806.51,0.04,24.29,33.21,19586.63,0.27,1088.15,34,3,4,5,15.0,21.0,88.0,68.0,25.0,False
15.0,5.0,1.0,2.0,55.0,220.0,0.06,17.5,12.57,3850.0,0.07,213.89,11,0,1,0,10.0,6.0,34.0,21.0,9.0,False
7.0,1.0,1.0,1.0,17.0,60.94,0.5,2.0,30.47,121.89,0.02,6.77,3,0,2,0,4.0,8.0,9.0,8.0,1.0,False
7.0,1.0,1.0,1.0,16.0,55.35,0.34,2.92,18.98,161.44,0.02,8.97,4,0,1,0,5.0,6.0,9.0,7.0,1.0,False
21.0,3.0,1.0,2.0,53.0,257.47,0.14,7.33,35.11,1888.14,0.09,104.9,15,0,4,0,11.0,18.0,29.0,24.0,5.0,False
19.0,5.0,5.0,3.0,71.0,351.75,0.05,20.58,17.09,7240.15,0.12,402.23,16,0,1,0,19.0,12.0,45.0,26.0,9.0,False
135.0,4.0,3.0,4.0,505.0,3417.93,0.04,23.26,146.95,79495.75,1.14,4416.43,96,12,24,0,20.0,89.0,298.0,207.0,7.0,False
28.0,5.0,1.0,2.0,80.0,413.59,0.1,10.17,40.65,4207.87,0.14,233.77,20,0,6,0,13.0,23.0,44.0,36.0,9.0,False
12.0,2.0,1.0,2.0,25.0,106.2,0.16,6.19,17.16,657.1,0.04,36.51,8,0,2,0,11.0,8.0,16.0,9.0,3.0,False
82.0,10.0,1.0,9.0,327.0,1881.85,0.03,34.75,54.15,65394.23,0.63,3633.01,62,8,8,2,18.0,36.0,188.0,139.0,19.0,False
6.0,1.0,1.0,1.0,13.0,39.0,0.56,1.8,21.67,70.2,0.01,3.9,4,0,0,0,3.0,5.0,7.0,6.0,1.0,False
20.0,2.0,1.0,2.0,46.0,198.81,0.16,6.19,32.11,1231.08,0.07,68.39,13,0,5,0,7.0,13.0,23.0,23.0,3.0,False
32.0,2.0,1.0,2.0,275.0,1582.59,0.06,15.57,101.66,24638.11,0.53,1368.78,31,0,1,0,10.0,44.0,138.0,137.0,3.0,False
31.0,11.0,11.0,1.0,82.0,341.93,0.03,36.4,9.39,12446.39,0.11,691.47,21,7,1,0,13.0,5.0,54.0,28.0,21.0,False
12.0,3.0,1.0,2.0,28.0,116.76,0.12,8.13,14.37,948.66,0.04,52.7,9,0,1,0,10.0,8.0,15.0,13.0,5.0,False
12.0,2.0,1.0,1.0,22.0,89.92,0.26,3.85,23.36,346.21,0.03,19.23,5,3,2,0,7.0,10.0,11.0,11.0,3.0,False
31.0,7.0,5.0,5.0,95.0,479.22,0.04,24.6,19.48,11788.75,0.16,654.93,22,1,4,0,18.0,15.0,54.0,41.0,13.0,False
58.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,True
23.0,4.0,1.0,4.0,43.0,204.46,0.13,7.89,25.9,1613.77,0.07,89.65,18,1,2,0,13.0,14.0,26.0,17.0,7.0,False
24.0,3.0,1.0,3.0,43.0,185.84,0.2,5.12,36.33,950.66,0.06,52.81,18,0,4,0,7.0,13.0,24.0,19.0,5.0,False
22.0,4.0,1.0,4.0,46.0,205.13,0.23,4.43,46.27,909.43,0.07,50.52,19,0,1,0,7.0,15.0,27.0,19.0,7.0,False
53.0,11.0,9.0,9.0,170.0,969.07,0.06,17.0,57.0,16474.27,0.32,915.24,46,0,4,0,17.0,35.0,100.0,70.0,21.0,False
43.0,1.0,1.0,1.0,370.0,1739.16,0.02,41.33,42.08,71885.39,0.58,3993.63,30,0,11,0,8.0,18.0,184.0,186.0,1.0,False
15.0,2.0,1.0,2.0,50.0,237.74,0.09,10.77,22.08,2560.32,0.08,142.24,12,0,1,0,14.0,13.0,30.0,20.0,3.0,False
50.0,8.0,7.0,6.0,140.0,764.32,0.06,16.69,45.81,12752.83,0.25,708.49,31,9,8,0,17.0,27.0,87.0,53.0,15.0,False
15.0,3.0,1.0,3.0,45.0,197.65,0.15,6.46,30.59,1277.15,0.07,70.95,10,0,3,0,8.0,13.0,24.0,21.0,5.0,True
12.0,2.0,1.0,2.0,23.0,97.7,0.2,5.0,19.54,488.51,0.03,27.14,7,1,2,0,10.0,9.0,14.0,9.0,3.0,False
96.0,2.0,1.0,2.0,262.0,1572.0,0.1,10.39,151.29,16334.51,0.52,907.47,60,17,16,1,9.0,55.0,135.0,127.0,3.0,False
12.0,3.0,1.0,2.0,24.0,100.08,0.13,8.0,12.51,800.63,0.03,44.48,8,0,2,0,12.0,6.0,16.0,8.0,5.0,False
13.0,2.0,1.0,2.0,39.0,171.3,0.12,8.25,20.76,1413.23,0.06,78.51,8,0,3,0,11.0,10.0,24.0,15.0,3.0,False
46.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,33.0,False
18.0,9.0,9.0,1.0,90.0,423.04,0.03,28.8,14.69,12183.54,0.14,676.86,15,0,1,0,16.0,10.0,55.0,36.0,17.0,False
45.0,8.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,15.0,False
