loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
15.0,4.0,4.0,2.0,46.0,205.13,0.06,15.75,13.02,3230.86,0.07,179.49,13,0,0,0,14.0,8.0,28.0,18.0,7.0,False
6.0,1.0,1.0,1.0,23.0,89.86,0.4,2.5,35.94,224.65,0.03,12.48,3,0,0,0,5.0,10.0,13.0,10.0,1.0,False
7.0,2.0,1.0,2.0,14.0,48.43,0.23,4.38,11.07,211.89,0.02,11.77,5,0,0,0,7.0,4.0,9.0,5.0,3.0,True
64.0,12.0,12.0,12.0,193.0,1125.75,0.06,16.0,70.36,18011.96,0.38,1000.66,48,4,8,2,16.0,41.0,111.0,82.0,23.0,False
12.0,3.0,1.0,3.0,34.0,153.8,0.13,7.64,20.14,1174.48,0.05,65.25,10,0,0,0,12.0,11.0,20.0,14.0,5.0,True
12.0,3.0,1.0,3.0,37.0,128.0,0.08,12.25,10.45,1567.99,0.04,87.11,10,0,0,0,7.0,4.0,23.0,14.0,5.0,False
34.0,3.0,1.0,1.0,87.0,376.01,0.03,31.57,11.91,11871.1,0.13,659.51,25,2,5,0,13.0,7.0,53.0,34.0,5.0,False
23.0,8.0,7.0,8.0,60.0,302.66,0.11,8.75,34.59,2648.31,0.1,147.13,14,0,4,2,15.0,18.0,39.0,21.0,15.0,False
13.0,3.0,1.0,2.0,47.0,209.59,0.08,12.6,16.63,2640.88,0.07,146.72,9,0,2,0,12.0,10.0,26.0,21.0,5.0,False
78.0,7.0,5.0,6.0,252.0,1482.43,0.04,25.64,57.81,38010.92,0.49,2111.72,53,1,21,1,20.0,39.0,152.0,100.0,13.0,False
4.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,0,0,5.0,2.0,5.0,2.0,1.0,True
200.0,25.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,49.0,True
35.0,3.0,1.0,3.0,64.0,310.91,0.09,10.97,28.35,3410.3,0.1,189.46,26,0,7,0,13.0,16.0,37.0,27.0,5.0,False
11.0,3.0,3.0,2.0,49.0,235.56,0.1,9.81,24.02,2310.3,0.08,128.35,9,0,0,0,15.0,13.0,32.0,17.0,5.0,False
4.0,1.0,1.0,1.0,13.0,43.19,0.17,5.83,7.4,251.91,0.01,14.0,2,0,0,0,7.0,3.0,8.0,5.0,1.0,False
39.0,9.0,7.0,7.0,135.0,727.96,0.03,28.6,25.45,20819.74,0.24,1156.65,29,3,3,2,22.0,20.0,83.0,52.0,17.0,False
16.0,5.0,1.0,2.0,68.0,288.86,0.04,23.14,12.48,6685.02,0.1,371.39,13,0,1,0,12.0,7.0,41.0,27.0,9.0,False
26.0,4.0,1.0,4.0,33.0,128.93,0.31,3.25,39.67,419.01,0.04,23.28,21,2,1,0,5.0,10.0,20.0,13.0,7.0,False
16.0,2.0,1.0,2.0,44.0,201.74,0.26,3.91,51.57,789.15,0.07,43.84,13,0,1,0,7.0,17.0,25.0,19.0,3.0,False
58.0,10.0,1.0,9.0,211.0,1151.94,0.04,23.88,48.23,27513.65,0.38,1528.54,47,1,8,0,18.0,26.0,142.0,69.0,19.0,False
17.0,2.0,1.0,2.0,31.0,133.98,0.15,6.72,19.93,900.64,0.04,50.04,9,3,3,0,11.0,9.0,20.0,11.0,3.0,False
203.0,17.0,8.0,14.0,683.0,4254.28,0.01,87.0,48.9,370122.64,1.42,20562.37,170,0,31,0,29.0,46.0,407.0,276.0,31.0,False
33.0,4.0,3.0,2.0,90.0,454.0,0.04,24.43,18.58,11090.46,0.15,616.14,18,5,8,0,19.0,14.0,54.0,36.0,7.0,True
10.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,9.0,False
58.0,11.0,3.0,7.0,156.0,909.93,0.05,20.63,44.1,18774.01,0.3,1043.0,49,2,3,2,23.0,34.0,95.0,61.0,19.0,True
27.0,1.0,1.0,1.0,130.0,666.81,0.08,12.0,55.57,8001.68,0.22,444.54,17,0,5,0,12.0,23.0,84.0,46.0,1.0,False
31.0,13.0,13.0,2.0,106.0,504.02,0.05,21.25,23.72,10710.38,0.17,595.02,25,0,4,0,15.0,12.0,74.0,34.0,25.0,False
90.0,9.0,7.0,8.0,439.0,2835.69,0.03,30.59,92.71,86738.77,0.95,4818.82,80,1,7,0,20.0,68.0,232.0,208.0,17.0,False
118.0,21.0,19.0,19.0,423.0,2711.17,0.03,34.37,78.88,93190.81,0.9,5177.27,93,10,13,0,26.0,59.0,267.0,156.0,40.0,False
5.0,1.0,1.0,1.0,17.0,60.94,0.29,3.5,17.41,213.31,0.02,11.85,3,0,0,0,6.0,6.0,10.0,7.0,1.0,False
33.0,2.0,1.0,2.0,106.0,525.14,0.07,15.24,34.47,8000.74,0.18,444.49,21,3,6,0,14.0,17.0,69.0,37.0,3.0,False
16.0,1.0,1.0,1.0,43.0,194.51,0.15,6.54,29.75,1271.82,0.06,70.66,11,0,3,0,10.0,13.0,26.0,17.0,1.0,False
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3.0,2.0,3.0,2.0,1.0,False
25.0,3.0,1.0,3.0,36.0,150.12,0.09,11.0,13.65,1651.29,0.05,91.74,16,3,4,0,11.0,7.0,22.0,14.0,5.0,False
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3.0,1.0,3.0,1.0,1.0,False
102.0,34.0,15.0,11.0,414.0,2528.93,0.03,28.76,87.92,72743.9,0.84,4041.33,74,19,5,2,18.0,51.0,251.0,163.0,67.0,True
33.0,1.0,1.0,1.0,85.0,384.5,0.08,13.29,28.93,5110.68,0.13,283.93,22,4,5,0,11.0,12.0,56.0,29.0,1.0,False
29.0,5.0,1.0,2.0,104.0,515.24,0.07,13.36,38.56,6884.13,0.17,382.45,14,7,5,1,13.0,18.0,67.0,37.0,9.0,False
4.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0,4.0,3.0,4.0,3.0,1.0,False
32.0,9.0,1.0,1.0,50.0,250.0,0.13,7.94,31.48,1985.29,0.08,110.29,22,0,8,0,15.0,17.0,32.0,18.0,10.0,True
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3.0,1.0,3.0,1.0,1.0,False
9.0,1.0,1.0,1.0,19.0,65.73,0.3,3.33,19.72,219.1,0.02,12.17,5,0,2,0,5.0,6.0,11.0,8.0,1.0,False
28.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,25.0,True
41.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,13.0,True
27.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,False
26.0,34.0,34.0,1.0,333.0,1462.64,0.01,104.0,14.06,152114.74,0.49,8450.82,20,2,2,0,14.0,7.0,229.0,104.0,67.0,True
20.0,4.0,4.0,2.0,44.0,199.04,0.11,8.73,22.81,1737.05,0.07,96.5,18,0,0,0,12.0,11.0,28.0,16.0,7.0,False
29.0,6.0,1.0,1.0,74.0,325.03,0.03,29.0,11.21,9425.91,0.11,523.65,24,0,2,1,14.0,7.0,45.0,29.0,11.0,False
5.0,1.0,1.0,1.0,12.0,41.51,0.25,4.0,10.38,166.05,0.01,9.23,3,0,0,0,8.0,3.0,9.0,3.0,1.0,False
80.0,13.0,10.0,11.0,244.0,1397.61,0.03,37.18,37.59,51967.89,0.47,2887.11,51,17,7,3,23.0,30.0,147.0,97.0,25.0,True
45.0,1.0,1.0,1.0,140.0,768.86,0.09,11.17,68.82,8589.6,0.26,477.2,28,5,10,0,13.0,32.0,85.0,55.0,1.0,True
136.0,25.0,4.0,12.0,756.0,4919.89,0.02,48.15,102.18,236892.84,1.64,13160.71,108,3,20,3,21.0,70.0,435.0,321.0,49.0,False
19.0,2.0,1.0,2.0,52.0,241.48,0.21,4.86,49.68,1173.86,0.08,65.2,14,0,3,0,7.0,18.0,27.0,25.0,3.0,False
35.0,4.0,3.0,2.0,62.0,294.8,0.1,10.0,29.48,2948.03,0.1,163.78,23,3,6,1,12.0,15.0,37.0,25.0,7.0,True
38.0,7.0,1.0,7.0,132.0,687.65,0.05,18.75,36.67,12893.4,0.23,716.3,26,0,10,0,15.0,22.0,77.0,55.0,13.0,False
38.0,2.0,1.0,2.0,87.0,387.97,0.09,11.42,33.96,4431.82,0.13,246.21,22,4,9,0,9.0,13.0,54.0,33.0,3.0,False
22.0,3.0,1.0,3.0,63.0,299.56,0.09,11.2,26.75,3355.05,0.1,186.39,15,0,4,0,12.0,15.0,35.0,28.0,5.0,False
46.0,9.0,8.0,5.0,164.0,889.91,0.06,17.38,51.2,15465.98,0.3,859.22,40,0,4,0,14.0,29.0,92.0,72.0,17.0,False
16.0,2.0,1.0,2.0,14.0,50.19,0.33,3.0,16.73,150.57,0.02,8.36,5,6,1,0,6.0,6.0,8.0,6.0,3.0,False
10.0,6.0,6.0,1.0,68.0,323.33,0.04,25.0,12.93,8083.31,0.11,449.07,8,0,1,1,18.0,9.0,43.0,25.0,11.0,False
30.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,False
11.0,5.0,3.0,3.0,32.0,140.55,0.1,9.75,14.42,1370.4,0.05,76.13,8,0,1,0,13.0,8.0,20.0,12.0,9.0,False
31.0,7.0,7.0,3.0,76.0,369.21,0.06,16.62,22.22,6134.51,0.12,340.81,24,2,3,0,16.0,13.0,49.0,27.0,13.0,False
32.0,3.0,1.0,3.0,116.0,617.34,0.06,16.36,37.73,10101.99,0.21,561.22,27,0,3,0,18.0,22.0,76.0,40.0,5.0,True
13.0,1.0,1.0,1.0,38.0,161.42,0.29,3.39,47.58,547.68,0.05,30.43,10,0,1,0,5.0,14.0,19.0,19.0,1.0,False
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3.0,2.0,3.0,2.0,1.0,False
47.0,8.0,5.0,7.0,123.0,667.43,0.04,26.71,24.98,17829.93,0.22,990.55,39,0,6,0,22.0,21.0,72.0,51.0,15.0,False
189.0,33.0,15.0,16.0,510.0,3388.37,0.03,37.17,91.17,125934.29,1.13,6996.35,174,3,10,0,26.0,75.0,289.0,223.0,65.0,False
69.0,14.0,9.0,10.0,184.0,1058.9,0.05,20.29,52.18,21489.43,0.35,1193.86,42,10,11,2,20.0,34.0,115.0,69.0,27.0,True
6.0,1.0,1.0,1.0,14.0,48.43,0.23,4.38,11.07,211.89,0.02,11.77,3,0,1,0,7.0,4.0,9.0,5.0,1.0,False
13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,False
5.0,1.0,1.0,1.0,17.0,60.94,0.29,3.5,17.41,213.31,0.02,11.85,3,0,0,0,6.0,6.0,10.0,7.0,1.0,False
24.0,6.0,5.0,4.0,80.0,380.39,0.07,14.86,25.6,5651.52,0.13,313.97,10,9,3,0,13.0,14.0,48.0,32.0,11.0,False
15.0,2.0,1.0,2.0,35.0,151.27,0.19,5.33,28.36,806.76,0.05,44.82,13,0,2,0,8.0,12.0,19.0,16.0,3.0,True
8.0,1.0,1.0,1.0,38.0,148.46,0.14,7.0,21.21,1039.23,0.05,57.74,6,0,0,0,7.0,8.0,22.0,16.0,1.0,False
15.0,3.0,1.0,2.0,47.0,215.49,0.11,9.0,23.94,1939.44,0.07,107.75,10,0,2,1,12.0,12.0,29.0,18.0,5.0,True
77.0,8.0,5.0,5.0,264.0,1432.53,0.02,56.21,25.49,80523.48,0.48,4473.53,60,3,7,2,24.0,19.0,175.0,89.0,15.0,True
11.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,False
26.0,1.0,1.0,1.0,92.0,482.81,0.1,9.88,48.87,4770.16,0.16,265.01,18,0,5,0,13.0,25.0,54.0,38.0,1.0,False
102.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,False
15.0,1.0,1.0,1.0,41.0,164.0,0.24,4.09,40.09,670.91,0.05,37.27,9,0,4,0,5.0,11.0,23.0,18.0,1.0,False
42.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,9.0,False
109.0,18.0,10.0,16.0,474.0,2952.46,0.03,39.86,74.07,117688.34,0.98,6538.24,94,0,10,0,21.0,54.0,269.0,205.0,35.0,False
53.0,8.0,1.0,7.0,127.0,743.96,0.07,14.47,51.4,10767.89,0.25,598.22,48,0,5,0,20.0,38.0,72.0,55.0,15.0,False
46.0,7.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,13.0,True
168.0,26.0,22.0,20.0,564.0,4026.71,0.04,25.33,158.95,102009.91,1.34,5667.22,138,9,20,1,24.0,117.0,317.0,247.0,51.0,True
107.0,8.0,1.0,5.0,312.0,1892.62,0.03,31.91,59.3,60402.76,0.63,3355.71,89,1,5,10,20.0,47.0,162.0,150.0,15.0,False
6.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3.0,1.0,3.0,1.0,1.0,False
63.0,8.0,1.0,7.0,176.0,966.57,0.03,30.4,31.79,29383.61,0.32,1632.42,54,0,7,0,20.0,25.0,100.0,76.0,15.0,False
141.0,3.0,1.0,3.0,498.0,2467.19,0.02,65.05,37.93,160497.19,0.82,8916.51,103,6,30,0,12.0,19.0,292.0,206.0,5.0,False
23.0,8.0,8.0,2.0,87.0,438.86,0.03,33.0,13.3,14482.46,0.15,804.58,18,0,2,0,22.0,11.0,54.0,33.0,15.0,True
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,4,0,0,0,3.0,2.0,3.0,2.0,1.0,False
74.0,12.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,20.0,False
13.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,0,0,1.0,0.0,1.0,0.0,1.0,False
25.0,2.0,1.0,2.0,44.0,206.82,0.1,10.23,20.22,2115.2,0.07,117.51,17,2,3,0,15.0,11.0,29.0,15.0,3.0,False
61.0,9.0,9.0,5.0,196.0,997.14,0.03,35.44,28.14,35336.25,0.33,1963.12,45,2,12,0,18.0,16.0,133.0,63.0,17.0,False
122.0,13.0,6.0,8.0,370.0,2139.1,0.02,58.28,36.71,124658.08,0.71,6925.45,82,23,12,3,26.0,29.0,240.0,130.0,25.0,False
17.0,9.0,1.0,1.0,75.0,375.0,0.14,7.0,53.57,2625.0,0.13,145.83,14,0,1,0,14.0,18.0,57.0,18.0,10.0,False
52.0,6.0,1.0,6.0,123.0,667.43,0.07,14.71,45.37,9818.93,0.22,545.5,42,0,6,1,17.0,26.0,78.0,45.0,11.0,False
7.0,1.0,1.0,1.0,16.0,55.35,0.44,2.29,24.22,126.52,0.02,7.03,4,0,1,0,4.0,7.0,8.0,8.0,1.0,False
4.0,1.0,1.0,1.0,9.0,28.53,0.33,3.0,9.51,85.59,0.01,4.75,2,0,0,0,6.0,3.0,6.0,3.0,1.0,False
43.0,4.0,1.0,3.0,137.0,708.28,0.06,17.86,39.66,12647.85,0.24,702.66,30,0,11,0,15.0,21.0,87.0,50.0,7.0,True
21.0,5.0,1.0,2.0,67.0,335.0,0.05,19.93,16.81,6676.07,0.11,370.89,12,0,4,0,18.0,14.0,36.0,31.0,9.0,False
6.0,1.0,1.0,1.0,21.0,79.95,0.36,2.78,28.78,222.1,0.03,12.34,4,0,0,0,5.0,9.0,11.0,10.0,1.0,False
58.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,True
39.0,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,13.0,False
12.0,2.0,1.0,1.0,22.0,89.92,0.26,3.85,23.36,346.21,0.03,19.23,5,3,2,0,7.0,10.0,11.0,11.0,3.0,False
119.0,12.0,1.0,5.0,398.0,2537.27,0.03,29.05,87.35,73701.53,0.85,4094.53,84,10,23,0,20.0,63.0,215.0,183.0,23.0,True
75.0,13.0,6.0,8.0,205.0,1105.43,0.03,29.24,37.81,32322.63,0.37,1795.7,50,12,11,0,17.0,25.0,119.0,86.0,25.0,True
13.0,2.0,1.0,2.0,33.0,134.89,0.18,5.63,23.98,758.74,0.04,42.15,8,0,1,0,9.0,8.0,23.0,10.0,3.0,False
18.0,6.0,5.0,3.0,209.0,1112.28,0.03,33.15,33.56,36868.91,0.37,2048.27,13,0,2,1,23.0,17.0,160.0,49.0,11.0,False
17.0,4.0,4.0,1.0,54.0,244.27,0.06,17.11,14.28,4179.77,0.08,232.21,14,0,1,0,14.0,9.0,32.0,22.0,7.0,False
34.0,6.0,1.0,4.0,131.0,666.46,0.04,28.44,23.43,18957.02,0.22,1053.17,23,2,6,0,16.0,18.0,67.0,64.0,11.0,False
33.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,True
19.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,False
41.0,6.0,3.0,2.0,105.0,538.57,0.05,19.83,27.16,10681.73,0.18,593.43,30,2,4,3,17.0,18.0,63.0,42.0,11.0,False
21.0,2.0,1.0,2.0,109.0,524.0,0.07,13.89,37.73,7277.8,0.17,404.32,17,1,1,0,10.0,18.0,59.0,50.0,3.0,False
17.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,False
7.0,2.0,1.0,1.0,15.0,51.89,0.19,5.33,9.73,276.75,0.02,15.38,5,0,0,0,8.0,3.0,11.0,4.0,3.0,False
142.0,30.0,24.0,12.0,574.0,3444.0,0.02,63.6,54.15,219038.4,1.15,12168.8,113,12,13,0,24.0,40.0,362.0,212.0,59.0,True
25.0,5.0,5.0,3.0,67.0,325.48,0.07,13.53,24.05,4404.89,0.11,244.72,17,2,4,0,14.0,15.0,38.0,29.0,9.0,False
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3.0,1.0,3.0,1.0,1.0,False
24.0,7.0,3.0,2.0,63.0,292.56,0.09,10.62,27.56,3105.67,0.1,172.54,22,0,0,0,12.0,13.0,40.0,23.0,13.0,False
172.0,25.0,24.0,25.0,579.0,3617.55,0.03,30.27,119.52,109491.18,1.21,6082.84,136,8,18,6,16.0,60.0,352.0,227.0,49.0,True
7.0,1.0,1.0,1.0,27.0,108.0,0.12,8.36,12.92,902.57,0.04,50.14,6,1,0,0,9.0,7.0,14.0,13.0,1.0,False
312.0,39.0,30.0,14.0,1097.0,7012.37,0.01,97.82,71.69,685920.72,2.34,38106.71,228,35,42,5,27.0,57.0,684.0,413.0,77.0,False
38.0,8.0,7.0,4.0,82.0,370.93,0.05,22.1,16.78,8197.6,0.12,455.42,24,4,4,1,13.0,10.0,48.0,34.0,15.0,False
30.0,4.0,1.0,1.0,69.0,262.71,0.05,19.33,13.59,5079.01,0.09,282.17,18,6,4,0,8.0,6.0,40.0,29.0,7.0,False
16.0,6.0,3.0,2.0,66.0,302.61,0.05,18.2,16.63,5507.46,0.1,305.97,13,0,1,0,14.0,10.0,40.0,26.0,11.0,False
6.0,1.0,1.0,1.0,9.0,25.27,0.67,1.5,16.84,37.9,0.01,2.11,3,0,1,0,3.0,4.0,5.0,4.0,1.0,False
38.0,9.0,1.0,9.0,147.0,706.68,0.05,19.5,36.24,13780.28,0.24,765.57,22,0,9,4,12.0,16.0,95.0,52.0,17.0,False
252.0,33.0,23.0,18.0,689.0,4699.1,0.02,46.61,100.81,219033.5,1.57,12168.53,172,45,32,1,28.0,85.0,406.0,283.0,65.0,True
19.0,3.0,1.0,3.0,27.0,105.49,0.15,6.75,15.63,712.03,0.04,39.56,10,7,0,0,9.0,6.0,18.0,9.0,5.0,False
17.0,6.0,3.0,2.0,62.0,272.32,0.05,21.12,12.89,5752.84,0.09,319.6,13,0,1,0,13.0,8.0,36.0,26.0,11.0,False
10.0,1.0,1.0,1.0,16.0,55.35,0.11,9.0,6.15,498.16,0.02,27.68,4,0,3,0,9.0,2.0,12.0,4.0,1.0,False
21.0,3.0,1.0,3.0,27.0,112.59,0.18,5.5,20.47,619.23,0.04,34.4,11,6,2,0,9.0,9.0,16.0,11.0,5.0,False
6.0,1.0,1.0,1.0,14.0,50.19,0.4,2.5,20.08,125.47,0.02,6.97,3,0,1,0,5.0,7.0,7.0,7.0,1.0,False
14.0,2.0,1.0,2.0,26.0,104.0,0.18,5.5,18.91,572.0,0.03,31.78,8,1,2,0,8.0,8.0,15.0,11.0,3.0,False
10.0,1.0,1.0,1.0,26.0,101.58,0.19,5.14,19.75,522.4,0.03,29.02,5,0,3,0,8.0,7.0,17.0,9.0,1.0,False
7.0,2.0,1.0,1.0,26.0,108.42,0.11,9.0,12.05,975.76,0.04,54.21,4,0,1,0,12.0,6.0,17.0,9.0,3.0,False
127.0,50.0,44.0,3.0,430.0,2589.62,0.02,47.5,54.52,123006.86,0.86,6833.71,108,3,14,0,25.0,40.0,289.0,152.0,98.0,False
7.0,2.0,1.0,1.0,19.0,68.11,0.13,7.5,9.08,510.86,0.02,28.38,5,0,0,0,9.0,3.0,14.0,5.0,3.0,False
15.0,4.0,3.0,2.0,33.0,137.61,0.08,11.79,11.68,1621.8,0.05,90.1,11,0,2,0,11.0,7.0,18.0,15.0,7.0,False
12.0,3.0,3.0,2.0,30.0,131.77,0.11,8.94,14.74,1177.69,0.04,65.43,10,0,0,0,13.0,8.0,19.0,11.0,5.0,False
17.0,16.0,16.0,16.0,126.0,577.71,0.06,15.71,36.76,9078.23,0.19,504.35,14,0,0,1,10.0,14.0,82.0,44.0,31.0,False
